연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","현대모비스","012330","STK","247500","270000","245500","2.530664","4.148836","0.200679","0.172994","0.000024814","258627.1286","4.545455","6211177","282326","1571535937719","71433451715"
"2018/02","현대모비스","012330","STK","228000","255000","222500","1.834639","0.847632","0.17627","0.278921","0.00001929","341908.1391","5.555556","5345830","296991","1256785049000","69821391611"
"2018/03","현대모비스","012330","STK","239500","261500","214500","2.862256","0.687395","0.16236","0.15406","0.000022743","283841.4401","4.761905","8631490","411023","2054292711022","97823462430"
"2018/04","현대모비스","012330","STK","248000","264500","241000","1.897769","1.011341","0.146017","-0.83846","0.000016311","312622.4815","9.52381","6440393","306685","1624586280022","77361251430"
"2018/05","현대모비스","012330","STK","218000","247000","218000","1.577954","-0.568941","0.217744","1.019317","0.000026077","188384.0058","10","4822890","241145","1135753731107","56787686555"
"2018/06","현대모비스","012330","STK","212000","231500","212000","1.475686","1.733487","0.255805","0.4639","0.000026727","287530.0462","5.263158","4280787","225305","945564554505","49766555500"
"2018/07","현대모비스","012330","STK","228000","229500","198500","1.923534","-0.625117","0.271566","1.265763","0.000036522","162233.6225","4.545455","3879952","176361","837753948711","38079724941"
"2018/08","현대모비스","012330","STK","224000","235000","223000","1.24524","0.100077","0.269806","0.17848","0.000033234","208884.8368","0","3027410","137610","695845534828","31629342492"
"2018/09","현대모비스","012330","STK","228000","237000","220000","1.791716","0.624047","0.260176","0.568476","0.000038016","193085.2383","11.764706","2815800","165635","637002855804","37470756224"
"2018/10","현대모비스","012330","STK","190000","221000","182500","2.512598","-0.99015","-0.526501","1.107771","0.000037945","193399.7922","4.761905","5748592","273742","1118708968633","53271855649"
"2018/11","현대모비스","012330","STK","180500","195500","167000","2.792816","3.208283","-0.554112","0.673853","0.000039344","182991.7764","18.181818","5469734","248624","993235112801","45147050582"
"2018/12","현대모비스","012330","STK","190000","205500","177000","2.79754","4.457623","-0.563781","1.927933","0.000040272","163500.4324","0","4346949","228787","834614429892","43927075257"
"2019/01","현대모비스","012330","STK","225000","225000","185000","2.693015","-1.321321","-0.510741","1.00861","0.000046312","259248.0483","0","5451788","247809","1128258376950","51284471680"
"2019/02","현대모비스","012330","STK","220500","224000","209000","1.477659","1.687733","-0.507338","0.483036","0.000022099","457527.3386","0","4536804","266871","982389137676","57787596334"
"2019/03","현대모비스","012330","STK","208500","215000","200000","1.968521","-0.403965","-0.490971","1.609725","0.000036992","202731.4609","5","4211534","210577","879959004394","43997950220"
"2019/04","현대모비스","012330","STK","232500","234500","207500","1.944002","-1.030647","-0.527107","1.058095","0.000036961","189726.5548","4.545455","4467207","203055","1005600103298","45709095604"
"2019/05","현대모비스","012330","STK","217000","237000","211000","1.693882","0.635072","-0.509006","1.061119","0.000028181","367252.5036","0","4450854","211945","978161742390","46579130590"
"2019/06","현대모비스","012330","STK","235500","235500","216000","1.236821","3.002025","-0.5253","0.462187","0.000021821","200240.6344","26.315789","3319763","174724","744443494000","39181236526"
